Original Sher,Translation
कोई हाथ भी न मिलाएगा जो गले मिलोगे तपाक से ये नए मिज़ाज का शहर है ज़रा फ़ासले से मिला करो,"""No one will shake your hand if you greet them with enthusiasm. This is a city with a new attitude; please keep a bit of distance."""
हम हुए तुम हुए कि 'मीर' हुए उस की ज़ुल्फ़ों के सब असीर हुए,"""We and you became 'Mir' (poem) and all of us became captive of his tresses."""
ले दे के अपने पास फ़क़त इक नज़र तो है क्यूँ देखें ज़िंदगी को किसी की नज़र से हम,Why should we see life through someone else's eyes when all we have is a single glance of our own?
कैसे आकाश में सूराख़ नहीं हो सकता एक पत्थर तो तबीअ'त से उछालो यारो,"How can there be a hole in the sky? Throw a stone with all your might, my friends."
हम ने माना कि तग़ाफ़ुल न करोगे लेकिन ख़ाक हो जाएँगे हम तुम को ख़बर होते तक,"We assumed you wouldn't spread rumors, but we will turn to dust before you even hear about it."
इक लफ़्ज़-ए-मोहब्बत का अदना ये फ़साना है सिमटे तो दिल-ए-आशिक़ फैले तो ज़माना है,"""This is a modest tale of love, if hearts of lovers contract, the world expands."""
उल्टी हो गईं सब तदबीरें कुछ न दवा ने काम किया देखा इस बीमारी-ए-दिल ने आख़िर काम तमाम किया,"All remedies proved vain, neither drugs nor medicines could cure this ailment of the heart, and in the end it was this very illness that did the job."
सरफ़रोशी की तमन्ना अब हमारे दिल में है देखना है ज़ोर कितना बाज़ू-ए-क़ातिल में है,The desire for freedom is now in our hearts. Let us see how much strength the arm of the oppressor has.
दिल की चोटों ने कभी चैन से रहने न दिया जब चली सर्द हवा मैं ने तुझे याद किया,"Wounds of the heart never let me rest, when the cold wind blew, I remembered you."
हज़ारों साल नर्गिस अपनी बे-नूरी पे रोती है बड़ी मुश्किल से होता है चमन में दीदा-वर पैदा,"""For thousands of years, the narcissus cries out its bareness. It is very difficult for a brother and sister to be born in the garden."""
नाज़ुकी उस के लब की क्या कहिए पंखुड़ी इक गुलाब की सी है,What can I say about the delicateness of her lips? They are like a rose petal.
ग़रज़ कि काट दिए ज़िंदगी के दिन ऐ दोस्त वो तेरी याद में हों या तुझे भुलाने में,"For what's the point, my friend, in either remembering you or forgetting you, when life itself has been cut off?"
बे-ख़ुदी बे-सबब नहीं 'ग़ालिब' कुछ तो है जिस की पर्दा-दारी है,"There is a reason for this self-effacement, 'Ghalib', something that needs to be veiled."
मेरे हम-नफ़स मेरे हम-नवा मुझे दोस्त बन के दग़ा न दे मैं हूँ दर्द-ए-इश्क़ से जाँ-ब-लब मुझे ज़िंदगी की दुआ न दे,"My own self, my own soul, do not betray me by becoming a friend, I am suffering from the pain of love, do not give me the blessing of life."
दिल अभी पूरी तरह टूटा नहीं दोस्तों की मेहरबानी चाहिए,"""The heart is not yet fully broken, friends' kindness is needed."""
अब तो जाते हैं बुत-कदे से 'मीर' फिर मिलेंगे अगर ख़ुदा लाया,"""Now let us go from the idol's presence; If God brings 'Meera' back, we shall meet her."""
तिरे माथे पे ये आँचल बहुत ही ख़ूब है लेकिन तू इस आँचल से इक परचम बना लेती तो अच्छा था,"""The veil on your forehead is very beautiful, but it would have been better if you had made a flag out of this veil."""
मकतब-ए-इश्क़ का दस्तूर निराला देखा उस को छुट्टी न मिले जिस को सबक़ याद रहे,"I have seen a unique constitution of the school of love, where no one was given leave who did not remember their lesson."
ज़िंदगी क्या किसी मुफ़लिस की क़बा है जिस में हर घड़ी दर्द के पैवंद लगे जाते हैं,"Is life a beggar's cup, in which the nails of pain are driven with every passing hour?"
घर से मस्जिद है बहुत दूर चलो यूँ कर लें किसी रोते हुए बच्चे को हँसाया जाए,It is a long way from home to the mosque. Let us do something to make a crying child laugh.
आईना क्यूँ न दूँ कि तमाशा कहें जिसे ऐसा कहाँ से लाऊँ कि तुझ सा कहें जिसे,Why shouldn't I give you a mirror so that you can see your true self and know who you are?
सरफ़रोशी की तमन्ना अब हमारे दिल में है देखना है ज़ोर कितना बाज़ू-ए-क़ातिल में है,The desire for freedom burns in our hearts; let us see how much strength the arm of the oppressor has.
दिल के फफूले जल उठे सीने के दाग़ से इस घर को आग लग गई घर के चराग़ से,"The heart's flowers bloomed, the chest's wound caught fire, and this house was set ablaze by the lamp of the house."
हम ने माना कि तग़ाफ़ुल न करोगे लेकिन ख़ाक हो जाएँगे हम तुम को ख़बर होते तक,"We believed that you would not do injustice, but when we are reduced to dust, you will come to know."
कभी यक-ब-यक तुम्हें ग़म बी ग़म हो जाता कभी ज़िंदगी तो किसी की ज़िंदगी हो जाती,"""Sometimes you're sad, sometimes life is just a life, but sometimes it's someone else's life."""
