Original Sher,Translation
कोई हाथ भी न मिलाएगा जो गले मिलोगे तपाक से ये नए मिज़ाज का शहर है ज़रा फ़ासले से मिला करो," ""No one will touch you, even a little bit, this new city of Mizaj, which was formed from the steam."""
हम हुए तुम हुए कि 'मीर' हुए उस की ज़ुल्फ़ों के सब असीर हुए," ""We became what 'Meer' became, all of his zulfoons have become clear."""
ले दे के अपने पास फ़क़त इक नज़र तो है क्यूँ देखें ज़िंदगी को किसी की नज़र से हम," Here's the English translation of your provided Hindi text: ""ले दे के अपने पास फ़क़त इक नज़र तो है क्यूँ देखें ज़िंदगी को किसी की नज़र से हम""

The translation is: ""Since there's already a face in front of you, why look at life from someone else's perspective?"""
कैसे आकाश में सूराख़ नहीं हो सकता एक पत्थर तो तबीअ'त से उछालो यारो," ""How can a stone not fall from the sky when thrown by someone?"""
हम ने माना कि तग़ाफ़ुल न करोगे लेकिन ख़ाक हो जाएँगे हम तुम को ख़बर होते तक," We thought they wouldn't do it, but we will be in trouble until you tell us the news."
इक लफ़्ज़-ए-मोहब्बत का अदना ये फ़साना है सिमटे तो दिल-ए-आशिक़ फैले तो ज़माना है," A moment of intense emotion, a fleeting touch; let the heart and soul expand, embrace this moment."
उल्टी हो गईं सब तदबीरें कुछ न दवा ने काम किया देखा इस बीमारी-ए-दिल ने आख़िर काम तमाम किया," ""All dreams turned into dust, and the heart disease finally did its work."""
सरफ़रोशी की तमन्ना अब हमारे दिल में है देखना है ज़ोर कितना बाज़ू-ए-क़ातिल में है," ""The softness of the breeze now resides in our hearts, let's see how much it dominates with a gentle touch."""
दिल की चोटों ने कभी चैन से रहने न दिया जब चली सर्द हवा मैं ने तुझे याद किया," ""The wounds of the heart have never let me forget you even when the cold wind carried me away."""
हज़ारों साल नर्गिस अपनी बे-नूरी पे रोती है बड़ी मुश्किल से होता है चमन में दीदा-वर पैदा," Many years ago, the goddess Nargis weeps on her barren land. It is very hard for her to give birth to a child like Lord Ganesha in the sky."
नाज़ुकी उस के लब की क्या कहिए पंखुड़ी इक गुलाब की सी है," ""What do you call a petal of a rose?"""
ग़रज़ कि काट दिए ज़िंदगी के दिन ऐ दोस्त वो तेरी याद में हों या तुझे भुलाने में," ""Remember the days when you were cut from life, dear friend. Whether those memories include you or whether they are meant to forgive you."""
बे-ख़ुदी बे-सबब नहीं 'ग़ालिब' कुछ तो है जिस की पर्दा-दारी है," ""There is something in 'galib' even if it has no knowledge."""
मेरे हम-नफ़स मेरे हम-नवा मुझे दोस्त बन के दग़ा न दे मैं हूँ दर्द-ए-इश्क़ से जाँ-ब-लब मुझे ज़िंदगी की दुआ न दे," ""Don't make me a friend because of pity, don't wish me good life on account of pain and misery."""
दिल अभी पूरी तरह टूटा नहीं दोस्तों की मेहरबानी चाहिए," ""My heart is not yet completely broken, friends should deserve my affection."""
अब तो जाते हैं बुत-कदे से 'मीर' फिर मिलेंगे अगर ख़ुदा लाया," Now they go through the tricks to find ""mir"" again if God has brought it."
तिरे माथे पे ये आँचल बहुत ही ख़ूब है लेकिन तू इस आँचल से इक परचम बना लेती तो अच्छा था," ""This pain on the head is very big, but if you make a medicine from this pain, it was good."""
मकतब-ए-इश्क़ का दस्तूर निराला देखा उस को छुट्टी न मिले जिस को सबक़ याद रहे," ""Saw the masked face of Makaatab-e-Ishq, which he did not receive a holiday as everyone else remembers."""
ज़िंदगी क्या किसी मुफ़लिस की क़बा है जिस में हर घड़ी दर्द के पैवंद लगे जाते हैं," ""Is zindagi kisi mufli se ki kuba hai jisme har ghoom door ke paavand lage ho jaate hain."""
घर से मस्जिद है बहुत दूर चलो यूँ कर लें किसी रोते हुए बच्चे को हँसाया जाए," ""It is far from home to the mosque, let us do it for a child who cries."""
आईना क्यूँ न दूँ कि तमाशा कहें जिसे ऐसा कहाँ से लाऊँ कि तुझ सा कहें जिसे," Why not say what you feel, so I can understand and respond accordingly."
सरफ़रोशी की तमन्ना अब हमारे दिल में है देखना है ज़ोर कितना बाज़ू-ए-क़ातिल में है," ""The affection of Sarfarosh is now in our heart, let's see how much it burns with a fiery passion."""
दिल के फफूले जल उठे सीने के दाग़ से इस घर को आग लग गई घर के चराग़ से," The flowers in the heart are like a fire that starts burning from inside, just as smoke comes out of a house when it catches fire."
हम ने माना कि तग़ाफ़ुल न करोगे लेकिन ख़ाक हो जाएँगे हम तुम को ख़बर होते तक," ""We thought we wouldn't do it, but you will be gossiped about until the news becomes common knowledge."""
कभी यक-ब-यक तुम्हें ग़म बी ग़म हो जाता कभी ज़िंदगी तो किसी की ज़िंदगी हो जाती," ""Sometimes, life hits you hard, just like how it can be with someone else's life."""
