Original Sher,Translation
कोई हाथ भी न मिलाएगा जो गले मिलोगे तपाक से ये नए मिज़ाज का शहर है ज़रा फ़ासले से मिला करो,"No one will embrace you warmly; this is a city of a new temperament, meet people from a distance. 


"
हम हुए तुम हुए कि 'मीर' हुए उस की ज़ुल्फ़ों के सब असीर हुए,"We became yours, you became ours, and in the tresses of our beloved, all hearts were captivated. 
"
ले दे के अपने पास फ़क़त इक नज़र तो है क्यूँ देखें ज़िंदगी को किसी की नज़र से हम,"Why should we look at life through someone else's eyes, when all we have is our own unique perspective? 


Let me know if you'd like me to elaborate on any part of the translation!"
कैसे आकाश में सूराख़ नहीं हो सकता एक पत्थर तो तबीअ'त से उछालो यारो,"How can there not be a hole in the sky if you throw a stone into it, my friend?  


Let me know if you'd like a further explanation of the metaphor!"
हम ने माना कि तग़ाफ़ुल न करोगे लेकिन ख़ाक हो जाएँगे हम तुम को ख़बर होते तक,"We thought you wouldn't ignore us, but we will turn to dust before you even know.  


Let me know if you'd like a more detailed explanation of the metaphors used!"
इक लफ़्ज़-ए-मोहब्बत का अदना ये फ़साना है सिमटे तो दिल-ए-आशिक़ फैले तो ज़माना है,"This tale of love is but a humble word, constricted it fits in the lover's heart, expanded it encompasses the world. 


"
उल्टी हो गईं सब तदबीरें कुछ न दवा ने काम किया देखा इस बीमारी-ए-दिल ने आख़िर काम तमाम किया,"All plans were overturned, no medicine worked. This disease of the heart ultimately finished everything. 


"
सरफ़रोशी की तमन्ना अब हमारे दिल में है देखना है ज़ोर कितना बाज़ू-ए-क़ातिल में है,"The yearning for sacrifice now burns in our hearts, let's see how much strength lies in the arm of the killer. 


"
दिल की चोटों ने कभी चैन से रहने न दिया जब चली सर्द हवा मैं ने तुझे याद किया,"The wounds of my heart never allowed me peace, when the cold wind blew, I remembered you. 


"
हज़ारों साल नर्गिस अपनी बे-नूरी पे रोती है बड़ी मुश्किल से होता है चमन में दीदा-वर पैदा,"For thousands of years, the narcissus weeps over its own lack of light. It is with great difficulty that a sight as beautiful as the hyacinth arises in the garden.  


"
नाज़ुकी उस के लब की क्या कहिए पंखुड़ी इक गुलाब की सी है,"What shall I say about the delicacy of her lips, they are like the petal of a rose.  


"
ग़रज़ कि काट दिए ज़िंदगी के दिन ऐ दोस्त वो तेरी याद में हों या तुझे भुलाने में,"Whether the days of life are spent in your remembrance, or in forgetting you, my friend.  
"
बे-ख़ुदी बे-सबब नहीं 'ग़ालिब' कुछ तो है जिस की पर्दा-दारी है,"This restlessness is not without reason, Ghalib, there is something hidden behind a veil.  


"
मेरे हम-नफ़स मेरे हम-नवा मुझे दोस्त बन के दग़ा न दे मैं हूँ दर्द-ए-इश्क़ से जाँ-ब-लब मुझे ज़िंदगी की दुआ न दे,"""My fellow breath, my companion, become a friend and don't betray me. I am consumed by the pain of love, so don't wish me a life."" 


Let me know if you need any further clarification!"
दिल अभी पूरी तरह टूटा नहीं दोस्तों की मेहरबानी चाहिए,"My heart hasn't completely broken yet, I still need the kindness of friends. 
"
अब तो जाते हैं बुत-कदे से 'मीर' फिर मिलेंगे अगर ख़ुदा लाया,"Now we depart from the idol's temple, 'Meer,' but if God wills it, we shall meet again. 


Let me know if you need further explanation of any words or phrases in the sher!"
तिरे माथे पे ये आँचल बहुत ही ख़ूब है लेकिन तू इस आँचल से इक परचम बना लेती तो अच्छा था,"The veil on your head is very beautiful, but it would have been better if you had made a banner out of it. 


"
मकतब-ए-इश्क़ का दस्तूर निराला देखा उस को छुट्टी न मिले जिस को सबक़ याद रहे,"The rulebook of love is unique, see; one doesn't get respite until they remember its lessons.  


Let me know if you'd like a more detailed explanation of the sher!"
ज़िंदगी क्या किसी मुफ़लिस की क़बा है जिस में हर घड़ी दर्द के पैवंद लगे जाते हैं,"Is life the tomb of a pauper, where every hour shackles of pain are fastened?  
"
घर से मस्जिद है बहुत दूर चलो यूँ कर लें किसी रोते हुए बच्चे को हँसाया जाए,"The mosque is very far from home, let's make a crying child laugh instead. 


"
आईना क्यूँ न दूँ कि तमाशा कहें जिसे ऐसा कहाँ से लाऊँ कि तुझ सा कहें जिसे,"Why shouldn't I give a mirror, so they call it a spectacle? From where should I bring someone like you to be called such.  


"
सरफ़रोशी की तमन्ना अब हमारे दिल में है देखना है ज़ोर कितना बाज़ू-ए-क़ातिल में है,"The desire for sacrifice now resides in our hearts, let's see how much strength is left in the arm of the killer.


"
दिल के फफूले जल उठे सीने के दाग़ से इस घर को आग लग गई घर के चराग़ से,"The heart's blossoms burned with the stain on the chest, this house caught fire from its own lamp. 


Let me know if you'd like a deeper explanation of the imagery and metaphors used!"
हम ने माना कि तग़ाफ़ुल न करोगे लेकिन ख़ाक हो जाएँगे हम तुम को ख़बर होते तक,"We accepted you wouldn't care, but we will turn to dust until you find out. 


Let me know if you'd like a deeper explanation of the meaning or any specific words!"
कभी यक-ब-यक तुम्हें ग़म बी ग़म हो जाता कभी ज़िंदगी तो किसी की ज़िंदगी हो जाती,"Sometimes your grief becomes a source of joy, sometimes life itself becomes someone else's.  
"
