Original Sher,Translation
कोई हाथ भी न मिलाएगा जो गले मिलोगे तपाक से ये नए मिज़ाज का शहर है ज़रा फ़ासले से मिला करो,No hand can unite what has already melted together. This is a city of changing fortunes; mix it up a bit.</end_of_turn>
हम हुए तुम हुए कि 'मीर' हुए उस की ज़ुल्फ़ों के सब असीर हुए,"""We all understood that 'merit' has rendered all the insults futile.""

"
ले दे के अपने पास फ़क़त इक नज़र तो है क्यूँ देखें ज़िंदगी को किसी की नज़र से हम,"""There is only one perspective on life, our own. We cannot see it from anyone else's point of view."""
कैसे आकाश में सूराख़ नहीं हो सकता एक पत्थर तो तबीअ'त से उछालो यारो,It is not possible for a stone to float in the sky like a sunflower. Just as you must remove the thorn from your palm.
हम ने माना कि तग़ाफ़ुल न करोगे लेकिन ख़ाक हो जाएँगे हम तुम को ख़बर होते तक,"We believed you would not stir up trouble, but if you persist, we will let you know about it."
इक लफ़्ज़-ए-मोहब्बत का अदना ये फ़साना है सिमटे तो दिल-ए-आशिक़ फैले तो ज़माना है,"A single word of love has scattered these thorns, when hearts are enamored, time itself stands still."
उल्टी हो गईं सब तदबीरें कुछ न दवा ने काम किया देखा इस बीमारी-ए-दिल ने आख़िर काम तमाम किया,All preparations have gone awry. It seems that this heart ailment has finally accomplished its purpose.
सरफ़रोशी की तमन्ना अब हमारे दिल में है देखना है ज़ोर कितना बाज़ू-ए-क़ातिल में है,The longing for wealth now resides in our hearts. We must see how strong our desire for wealth has become.
दिल की चोटों ने कभी चैन से रहने न दिया जब चली सर्द हवा मैं ने तुझे याद किया,"The wounds of the heart have never allowed for peaceful living, even when the cold wind reminded me of you.

"
हज़ारों साल नर्गिस अपनी बे-नूरी पे रोती है बड़ी मुश्किल से होता है चमन में दीदा-वर पैदा,"Thousands of years pass, the muskmelon struggles to climb its barren tree. It takes great effort to bear fruit in its mind."
नाज़ुकी उस के लब की क्या कहिए पंखुड़ी इक गुलाब की सी है,What to say of her lips that hold the fragrance of a hundred roses?
ग़रज़ कि काट दिए ज़िंदगी के दिन ऐ दोस्त वो तेरी याद में हों या तुझे भुलाने में,"It's possible that in the passing days, these friends will be remembered or forgotten."
बे-ख़ुदी बे-सबब नहीं 'ग़ालिब' कुछ तो है जिस की पर्दा-दारी है,"""Fame is not everything. There is something else that has a curtain-like quality."""
मेरे हम-नफ़स मेरे हम-नवा मुझे दोस्त बन के दग़ा न दे मैं हूँ दर्द-ए-इश्क़ से जाँ-ब-लब मुझे ज़िंदगी की दुआ न दे,"My dear friends, do not worry about my sorrows or troubles, for I am determined not to let them burden you. Life is too short to dwell on pain."
दिल अभी पूरी तरह टूटा नहीं दोस्तों की मेहरबानी चाहिए,"Friends, your kindness should not be forgotten even though your heart is still broken."
अब तो जाते हैं बुत-कदे से 'मीर' फिर मिलेंगे अगर ख़ुदा लाया,"Now you know the worth of wealth when it's gone. If God sends it back, we'll meet again."
तिरे माथे पे ये आँचल बहुत ही ख़ूब है लेकिन तू इस आँचल से इक परचम बना लेती तो अच्छा था,"""You have beautiful hair on your head, but if you put on perfume, it would have been better."""
मकतब-ए-इश्क़ का दस्तूर निराला देखा उस को छुट्टी न मिले जिस को सबक़ याद रहे,The depth of love is immeasurable. He who forgets his lessons will never be free from its burden.
ज़िंदगी क्या किसी मुफ़लिस की क़बा है जिस में हर घड़ी दर्द के पैवंद लगे जाते हैं,Life is nothing but a burden in which every hour brings the weight of pain.
घर से मस्जिद है बहुत दूर चलो यूँ कर लें किसी रोते हुए बच्चे को हँसाया जाए,The mosque is far from home. Let's go and cheer up a crying child on the way.
आईना क्यूँ न दूँ कि तमाशा कहें जिसे ऐसा कहाँ से लाऊँ कि तुझ सा कहें जिसे,Why don't you take it? It's your turn to speak now.
सरफ़रोशी की तमन्ना अब हमारे दिल में है देखना है ज़ोर कितना बाज़ू-ए-क़ातिल में है,The desire for riches now resides in our hearts. We must see how strong the temptation of wealth is.
दिल के फफूले जल उठे सीने के दाग़ से इस घर को आग लग गई घर के चराग़ से,"The love has set this house ablaze, like water rising from the marks on the forehead."
हम ने माना कि तग़ाफ़ुल न करोगे लेकिन ख़ाक हो जाएँगे हम तुम को ख़बर होते तक,"We thought you wouldn't trouble us, but now that you know, we'll tell you what's coming."
कभी यक-ब-यक तुम्हें ग़म बी ग़म हो जाता कभी ज़िंदगी तो किसी की ज़िंदगी हो जाती,"Sometimes a little bit of happiness brings joy, sometimes life becomes someone else's life."
