Original Sher,Translation
कोई हाथ भी न मिलाएगा जो गले मिलोगे तपाक से ये नए मिज़ाज का शहर है ज़रा फ़ासले से मिला करो,"Here is the English translation of the Hindi sher:

""No hand will offer what hearts have aligned. This city of new temperament is one that requires a little distance to meet."""
हम हुए तुम हुए कि 'मीर' हुए उस की ज़ुल्फ़ों के सब असीर हुए,"""We got entangled because of her, like the strands of her hair, all of us became bound together."""
ले दे के अपने पास फ़क़त इक नज़र तो है क्यूँ देखें ज़िंदगी को किसी की नज़र से हम,"""The only thing I have with me is one gaze, why look at life through someone else's eyes when we are here."""
कैसे आकाश में सूराख़ नहीं हो सकता एक पत्थर तो तबीअ'त से उछालो यारो,"""How can a stone not be thrown up in the sky, then? Come on friends!"""
हम ने माना कि तग़ाफ़ुल न करोगे लेकिन ख़ाक हो जाएँगे हम तुम को ख़बर होते तक,"""We have agreed that you won't take advantage, but we will be ruined before you even get the news."""
इक लफ़्ज़-ए-मोहब्बत का अदना ये फ़साना है सिमटे तो दिल-ए-आशिक़ फैले तो ज़माना है,"""This is the story of a single word of love. If it's confined, the lover's heart shrinks; if it spreads, the world expands."""
उल्टी हो गईं सब तदबीरें कुछ न दवा ने काम किया देखा इस बीमारी-ए-दिल ने आख़िर काम तमाम किया,"""All efforts went in vain, no medicine worked, and at last this disease of the heart has played its final trick."""
सरफ़रोशी की तमन्ना अब हमारे दिल में है देखना है ज़ोर कितना बाज़ू-ए-क़ातिल में है,"""The yearning for martyrdom is now in our hearts, we must see how much courage is there in the noose of death."""
दिल की चोटों ने कभी चैन से रहने न दिया जब चली सर्द हवा मैं ने तुझे याद किया,"The translation of the Hindi sher is:

""Painful wounds in my heart have never allowed me to rest peacefully, when I left with the cold wind, I remembered you."""
हज़ारों साल नर्गिस अपनी बे-नूरी पे रोती है बड़ी मुश्किल से होता है चमन में दीदा-वर पैदा,"""A thousand years, the narcissus cries for its lack of beauty, it's born with great difficulty in the garden of life."""
नाज़ुकी उस के लब की क्या कहिए पंखुड़ी इक गुलाब की सी है,"""The delicacy of her lips is like the petals of a rose."""
ग़रज़ कि काट दिए ज़िंदगी के दिन ऐ दोस्त वो तेरी याद में हों या तुझे भुलाने में,"""Wish that the days of life be cut short, my friend, whether it's in your memory or while you're trying to forget me."""
बे-ख़ुदी बे-सबब नहीं 'ग़ालिब' कुछ तो है जिस की पर्दा-दारी है,"""It's not that there is no 'Ghazal' without self-consciousness, but something exists whose veil can be lifted."""
मेरे हम-नफ़स मेरे हम-नवा मुझे दोस्त बन के दग़ा न दे मैं हूँ दर्द-ए-इश्क़ से जाँ-ब-लब मुझे ज़िंदगी की दुआ न दे,"""My own soul, my own heart, don't break my friendship and don't give up on me. I am wounded by the pain of love, from tip to toe. Don't pray for my life."""
दिल अभी पूरी तरह टूटा नहीं दोस्तों की मेहरबानी चाहिए,"""My heart is not completely broken yet; I need the mercy of friends."""
अब तो जाते हैं बुत-कदे से 'मीर' फिर मिलेंगे अगर ख़ुदा लाया,"""We are going away, but we will meet again at the doorstep of death. If Allah brings us together."""
तिरे माथे पे ये आँचल बहुत ही ख़ूब है लेकिन तू इस आँचल से इक परचम बना लेती तो अच्छा था,"""A scarf is very good on your delicate forehead, but if you had woven a canopy with this scarf, it would have been even better."""
मकतब-ए-इश्क़ का दस्तूर निराला देखा उस को छुट्टी न मिले जिस को सबक़ याद रहे,"""The rules of love's school are unique, one who has everything remembered cannot take a holiday."""
ज़िंदगी क्या किसी मुफ़लिस की क़बा है जिस में हर घड़ी दर्द के पैवंद लगे जाते हैं,"""What does life have to do with a wretched person's grave, in which every moment's pangs of pain are being sewn?"""
घर से मस्जिद है बहुत दूर चलो यूँ कर लें किसी रोते हुए बच्चे को हँसाया जाए,"""There is a mosque right at home, let's go a long way to make someone weeping child laugh."""
आईना क्यूँ न दूँ कि तमाशा कहें जिसे ऐसा कहाँ से लाऊँ कि तुझ सा कहें जिसे,"""Why wouldn't I show it, when the drama can be said to have been made, and where would I take it from, so that you too can say what's being said?"""
सरफ़रोशी की तमन्ना अब हमारे दिल में है देखना है ज़ोर कितना बाज़ू-ए-क़ातिल में है,"""The passion for martyrdom is now in our hearts, we want to see how much strength lies in the curve of the assassin's knife."""
दिल के फफूले जल उठे सीने के दाग़ से इस घर को आग लग गई घर के चराग़ से,"Here is the translation:

""My heart's wounds have been inflamed by the scars on my soul, and this house has caught fire with the lamp of memories."""
हम ने माना कि तग़ाफ़ुल न करोगे लेकिन ख़ाक हो जाएँगे हम तुम को ख़बर होते तक,"""We have accepted that you won't betray us, but we will be crushed until you know."""
कभी यक-ब-यक तुम्हें ग़म बी ग़म हो जाता कभी ज़िंदगी तो किसी की ज़िंदगी हो जाती,"""Sorrow becomes your sorrow sometimes; life becomes someone else's life at other times."""
