Original Sher,Translation
कोई हाथ भी न मिलाएगा जो गले मिलोगे तपाक से ये नए मिज़ाज का शहर है ज़रा फ़ासले से मिला करो," ""No one will extend a hand who can be reached from the back, this is a new city of tricks, try to find it with care."""
हम हुए तुम हुए कि 'मीर' हुए उस की ज़ुल्फ़ों के सब असीर हुए," ""We and you became 'Mir', as if all his pearls turned into sand."""
ले दे के अपने पास फ़क़त इक नज़र तो है क्यूँ देखें ज़िंदगी को किसी की नज़र से हम," ""Why should I look at life from someone else's gaze?"""
कैसे आकाश में सूराख़ नहीं हो सकता एक पत्थर तो तबीअ'त से उछालो यारो," How can a stone not rise in the sky, friend, from beneath the ground."
हम ने माना कि तग़ाफ़ुल न करोगे लेकिन ख़ाक हो जाएँगे हम तुम को ख़बर होते तक," We thought you wouldn't betray, but we will be betrayed until news reaches you."
इक लफ़्ज़-ए-मोहब्बत का अदना ये फ़साना है सिमटे तो दिल-ए-आशिक़ फैले तो ज़माना है," ""This longing for love is a yearning, when the heart flutters, the whole world becomes it."""
उल्टी हो गईं सब तदबीरें कुछ न दवा ने काम किया देखा इस बीमारी-ए-दिल ने आख़िर काम तमाम किया," ""All symptoms have been exhausted, but this disease of the heart has finally accomplished its task."""
सरफ़रोशी की तमन्ना अब हमारे दिल में है देखना है ज़ोर कितना बाज़ू-ए-क़ातिल में है," The longing for the Sarafoshi is now within our hearts, one needs to see how deep it echoes in the breastplate of the sword. (Literally: ""The desire for Sarafoshi is now in our hearts, have a look at how much it resounds in the hilt of the sword."")"
दिल की चोटों ने कभी चैन से रहने न दिया जब चली सर्द हवा मैं ने तुझे याद किया," ""My heart never stayed away from the cold wind, I remembered you"""
हज़ारों साल नर्गिस अपनी बे-नूरी पे रोती है बड़ी मुश्किल से होता है चमन में दीदा-वर पैदा," ""For a thousand years, Naghisi weeps bitterly in the field, a great difficulty arises in giving birth to Didara."""
नाज़ुकी उस के लब की क्या कहिए पंखुड़ी इक गुलाब की सी है, The color of the petal of that rose is pink.
ग़रज़ कि काट दिए ज़िंदगी के दिन ऐ दोस्त वो तेरी याद में हों या तुझे भुलाने में," ""The candle that was extinguished on the days of your life, my friend, will remain in my memory or I may forget you."""
बे-ख़ुदी बे-सबब नहीं 'ग़ालिब' कुछ तो है जिस की पर्दा-दारी है," ""Ghalib has something, he is not without essence or substance."""
मेरे हम-नफ़स मेरे हम-नवा मुझे दोस्त बन के दग़ा न दे मैं हूँ दर्द-ए-इश्क़ से जाँ-ब-लब मुझे ज़िंदगी की दुआ न दे," ""Do not offer me friendship or new life, for I am the pain of love itself; do not offer me a prayer for life."""
दिल अभी पूरी तरह टूटा नहीं दोस्तों की मेहरबानी चाहिए," My friends, longing for you is desired, not that my heart should shatter completely."
अब तो जाते हैं बुत-कदे से 'मीर' फिर मिलेंगे अगर ख़ुदा लाया," If (the time is) now, (then) the 'Meer' (will come again) from far away, if God wills it.

Translation: The Meer will return from afar if God wills it."
तिरे माथे पे ये आँचल बहुत ही ख़ूब है लेकिन तू इस आँचल से इक परचम बना लेती तो अच्छा था," On your forehead, this mountain is very beautiful but it would have been better if you had made a spark from it."
मकतब-ए-इश्क़ का दस्तूर निराला देखा उस को छुट्टी न मिले जिस को सबक़ याद रहे," The translated Hindi sher to English is: ""I could not find the prescription of love-sickness, and he was not found by anyone who remembered him"""
ज़िंदगी क्या किसी मुफ़लिस की क़बा है जिस में हर घड़ी दर्द के पैवंद लगे जाते हैं," Life is a mysterious enigma, where every moment weaves threads of sorrow."
घर से मस्जिद है बहुत दूर चलो यूँ कर लें किसी रोते हुए बच्चे को हँसाया जाए," ""Let's go far from the house to the mosque, let us make a laughing child out of someone crying."" (Note: This is an idiomatic expression in Hindi that translates roughly to ""let's go far away and leave trouble behind."")"
आईना क्यूँ न दूँ कि तमाशा कहें जिसे ऐसा कहाँ से लाऊँ कि तुझ सा कहें जिसे," ""Why can't the law say what it brings, that you may say which it brought to you."""
सरफ़रोशी की तमन्ना अब हमारे दिल में है देखना है ज़ोर कितना बाज़ू-ए-क़ातिल में है," The longing for Safarosh is now in our hearts, we long to see how deep the vein of the sword is."
दिल के फफूले जल उठे सीने के दाग़ से इस घर को आग लग गई घर के चराग़ से," ""The roses of the heart bloomed due to the flames of envy, this house caught fire from its own lamps."""
हम ने माना कि तग़ाफ़ुल न करोगे लेकिन ख़ाक हो जाएँगे हम तुम को ख़बर होते तक," We thought you wouldn't betray us, but it seems you will, until we find out."
कभी यक-ब-यक तुम्हें ग़म बी ग़म हो जाता कभी ज़िंदगी तो किसी की ज़िंदगी हो जाती," ""Sometimes, your life turns into a 'Yak-Bak', sometimes someone else's life becomes yours."" (Here, Yak-Bak is a Hindi idiom meaning an endless, often pointless, exchange of words)"
