Original Sher,Translation
कोई हाथ भी न मिलाएगा जो गले मिलोगे तपाक से ये नए मिज़ाज का शहर है ज़रा फ़ासले से मिला करो," ""No hand will ever meet, who embraces each other with warmth, this is a new city of the festival, meet by removing the barriers soon."""
हम हुए तुम हुए कि 'मीर' हुए उस की ज़ुल्फ़ों के सब असीर हुए," We became, you became, that he became the captive of all the tresses (of his lover) of ""Mir"" (the famous poet)."
ले दे के अपने पास फ़क़त इक नज़र तो है क्यूँ देखें ज़िंदगी को किसी की नज़र से हम," ""Take a look at what's in your possession, why see life through someone else's perspective.""

This is a Hindi sher (poem) written by famous Hindi poet Dushyant Kumar. The sher is a thought-provoking one that encourages the reader to appreciate and value their own experiences and perspectives in life, rather than constantly comparing themselves to others or seeing the world through their lens."
कैसे आकाश में सूराख़ नहीं हो सकता एक पत्थर तो तबीअ'त से उछालो यारो," How can the sky not have a crack if you throw a stone, my friends."
हम ने माना कि तग़ाफ़ुल न करोगे लेकिन ख़ाक हो जाएँगे हम तुम को ख़बर होते तक," We said don't ignore us, but we will turn to dust before you even notice."
इक लफ़्ज़-ए-मोहब्बत का अदना ये फ़साना है सिमटे तो दिल-ए-आशिक़ फैले तो ज़माना है," ""This is the tale of the longing for one word of love, if it disappears, the lover's heart will spread out, becoming an era."""
उल्टी हो गईं सब तदबीरें कुछ न दवा ने काम किया देखा इस बीमारी-ए-दिल ने आख़िर काम तमाम किया," ""All remedies turned upside down, nothing else seemed to work. In the end, this heart disease accomplished what it set out to do."""
सरफ़रोशी की तमन्ना अब हमारे दिल में है देखना है ज़ोर कितना बाज़ू-ए-क़ातिल में है," The desire for Sarfaroshi (martyrdom/being a patriot) is now in our hearts, it needs to be seen how much force is there in the chest of the enemy."
दिल की चोटों ने कभी चैन से रहने न दिया जब चली सर्द हवा मैं ने तुझे याद किया," The wounds of the heart never let me forget you, when I remembered you as the cold wind blew."
हज़ारों साल नर्गिस अपनी बे-नूरी पे रोती है बड़ी मुश्किल से होता है चमन में दीदा-वर पैदा," ""For thousands of years, the narcissus weeps for its lack of light; it is extremely difficult for a dewdrop to be born in the garden."" This is a poetic and metaphorical way of saying that achieving greatness or creating something beautiful requires a lot of time, effort, and difficulty. The narcissus represents any person who aspires to achieve something, but finds it challenging due to various obstacles. The dewdrop symbolizes the desired outcome, which is difficult to create or achieve."
नाज़ुकी उस के लब की क्या कहिए पंखुड़ी इक गुलाब की सी है," ""What to say about the intoxication of those lips, they are like a budding rose."""
ग़रज़ कि काट दिए ज़िंदगी के दिन ऐ दोस्त वो तेरी याद में हों या तुझे भुलाने में," ""In the days of life when slices are cut, O friend, may you remain in my memory or in my forgetting.""

Explanation: This sher (a type of poem in Urdu/Hindi language) is talking about the ups and downs of life. The poet says that even when one goes through tough times and has to face difficulties (symbolized by ""slices being cut from life""), the poet will either remember their friend or, if not, it will be because the friend has also been forgotten in the midst of those difficulties."
बे-ख़ुदी बे-सबब नहीं 'ग़ालिब' कुछ तो है जिस की पर्दा-दारी है," ""Unintentionally, without a reason, there is something that 'Ghalib' possesses, which is his very own dignity."""
