Original Sher,Translation
कोई हाथ भी न मिलाएगा जो गले मिलोगे तपाक से ये नए मिज़ाज का शहर है ज़रा फ़ासले से मिला करो,"""No hand will also not match with the neck you will meet, this city of new mood is hit by this, please adjust by giving some room."""
हम हुए तुम हुए कि 'मीर' हुए उस की ज़ुल्फ़ों के सब असीर हुए,"""We have become like you, that's why all the treasures are now at our disposal."""
ले दे के अपने पास फ़क़त इक नज़र तो है क्यूँ देखें ज़िंदगी को किसी की नज़र से हम,"The translation of your Hindi sher into English is: ""Take it, there's only one perspective in your possession; why should we look at life through someone else's eyes?"""
कैसे आकाश में सूराख़ नहीं हो सकता एक पत्थर तो तबीअ'त से उछालो यारो,"""How can a stone not float in the sky when even Allah's command can make it happen, my friend."""
हम ने माना कि तग़ाफ़ुल न करोगे लेकिन ख़ाक हो जाएँगे हम तुम को ख़बर होते तक,"""We assumed you wouldn't return the favor, but we would become like the dust until you were informed about us."""
इक लफ़्ज़-ए-मोहब्बत का अदना ये फ़साना है सिमटे तो दिल-ए-आशिक़ फैले तो ज़माना है,"The English translation of the given Hindi sher is:

""This tale is about a single word of love - when it sinks, then love fills the heart and when it spreads, then it becomes time."""
उल्टी हो गईं सब तदबीरें कुछ न दवा ने काम किया देखा इस बीमारी-ए-दिल ने आख़िर काम तमाम किया,"""The plans have backfired, no medicine has worked, seen the effects of this heart disease, finally everything is done."""
सरफ़रोशी की तमन्ना अब हमारे दिल में है देखना है ज़ोर कितना बाज़ू-ए-क़ातिल में है,"""The dream of the martyr now resides in our hearts to see how much force is in the hands of the killer."""
दिल की चोटों ने कभी चैन से रहने न दिया जब चली सर्द हवा मैं ने तुझे याद किया,"""The heart's wounds never let me stay away when the cold wind, reminded me of you."""
हज़ारों साल नर्गिस अपनी बे-नूरी पे रोती है बड़ी मुश्किल से होता है चमन में दीदा-वर पैदा,"""Millennia of Nargis weeps for her unseeing eyes, it's very difficult to produce in the game of deception and truthfulness."""
नाज़ुकी उस के लब की क्या कहिए पंखुड़ी इक गुलाब की सी है,"""What to say about her lips, they are just like the petals of a single rose."""
ग़रज़ कि काट दिए ज़िंदगी के दिन ऐ दोस्त वो तेरी याद में हों या तुझे भुलाने में,"""May the days that you cut with your laughter be remembered by those who are dear to you, or make you forget them."""
बे-ख़ुदी बे-सबब नहीं 'ग़ालिब' कुछ तो है जिस की पर्दा-दारी है,"""The reason for everything else may not be 'Galib', but there is something that has a veil or secrecy."""
मेरे हम-नफ़स मेरे हम-नवा मुझे दोस्त बन के दग़ा न दे मैं हूँ दर्द-ए-इश्क़ से जाँ-ब-लब मुझे ज़िंदगी की दुआ न दे,"The given Hindi sher translates to English as:

""Don't let my companions be my poison, I am suffering from the pain of love. Don't wish for death even once in my life."""
दिल अभी पूरी तरह टूटा नहीं दोस्तों की मेहरबानी चाहिए,"""The heart has not fully broken yet friends, we need hospitality."""
अब तो जाते हैं बुत-कदे से 'मीर' फिर मिलेंगे अगर ख़ुदा लाया,"""The bullets may take me away, but I will meet 'Mira' again if it's destined by God."""
तिरे माथे पे ये आँचल बहुत ही ख़ूब है लेकिन तू इस आँचल से इक परचम बना लेती तो अच्छा था,"""The hair on your head is very beautiful, but it would have been better if you had made a crown from this hair."""
मकतब-ए-इश्क़ का दस्तूर निराला देखा उस को छुट्टी न मिले जिस को सबक़ याद रहे,"""The routine of the school of love was seen, not even a vacation was given to him whom everyone remembered."""
ज़िंदगी क्या किसी मुफ़लिस की क़बा है जिस में हर घड़ी दर्द के पैवंद लगे जाते हैं,"""Life is like a sorrowful person's suffering where every hour wears the dress of pain."""
घर से मस्जिद है बहुत दूर चलो यूँ कर लें किसी रोते हुए बच्चे को हँसाया जाए,"""The mosque is far from home, let's make someone crying child laugh."""
आईना क्यूँ न दूँ कि तमाशा कहें जिसे ऐसा कहाँ से लाऊँ कि तुझ सा कहें जिसे,"""Why shouldn't I show you the mirror, to say a play that if I bring it from where, they would say it is just like you?"""
सरफ़रोशी की तमन्ना अब हमारे दिल में है देखना है ज़ोर कितना बाज़ू-ए-क़ातिल में है,"""The desire for retribution has now entered our hearts to see how strong the voice of the killer is."""
दिल के फफूले जल उठे सीने के दाग़ से इस घर को आग लग गई घर के चराग़ से,"""The fire in this house has started due to the marks on my chest, like the tears from a broken heart. From the torch of this home."""
हम ने माना कि तग़ाफ़ुल न करोगे लेकिन ख़ाक हो जाएँगे हम तुम को ख़बर होते तक,"""We assumed you wouldn't respond, but we'd turn into dust waiting for you to hear from us."""
कभी यक-ब-यक तुम्हें ग़म बी ग़म हो जाता कभी ज़िंदगी तो किसी की ज़िंदगी हो जाती,"""The howl of sorrow sometimes overtakes you, at times life becomes someone else's."""
